DRGCode,DRGDef,providertracking,providername,ProviderStreet,cityname,st_abrev,ProviderZip,HospitalReferralRegion,Discharges,AverageCoveredCharges,AverageTotalPayments
948,SIGNS & SYMPTOMS W/O MCC,370054,GRADY MEMORIAL HOSPITAL,2220 IOWA STREET,CHICKASHA,OK,73018,OK - Oklahoma City,13,8566.307692,4406.615385
039,EXTRACRANIAL PROCEDURES W/O CC/MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,47,16458.95745,5789.276596
057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,19,13876.94737,5324.684211
064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,23,29092,10634.73913
065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,53,17291.5283,6577.584906
066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,22,11772.90909,4895
069,TRANSIENT ISCHEMIA,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,55,12475.52727,4161.509091
074,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,14,14565.07143,4898.714286
101,SEIZURES W/O MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,16,14683.375,4511.9375
176,PULMONARY EMBOLISM W/O MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,16,16184.5,6096.625
177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,21,36494.28571,11075.95238
178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,14,36451,9775.5
189,PULMONARY EDEMA & RESPIRATORY FAILURE,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,33,18587.93939,7789.818182
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,51,22027.19608,6759.764706
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,80,15861.8,5590.5
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,35,9778.257143,4103.828571
193,SIMPLE PNEUMONIA & PLEURISY W MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,38,26979.52632,8409.105263
194,SIMPLE PNEUMONIA & PLEURISY W CC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,54,19051.62963,5844.203704
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,15,11183.46667,4038.866667
202,BRONCHITIS & ASTHMA W CC/MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,12,10445.75,4794.666667
203,BRONCHITIS & ASTHMA W/O CC/MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,11,12068.72727,3565.909091
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,11,89871.18182,29602.18182
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,40,40570.825,12716.975
238,MAJOR CARDIOVASC PROCEDURES W/O MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,31,47562.77419,17514.96774
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,26,51016.46154,14931.88462
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,11,42985.72727,11589
246,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,43,64888.60465,18882.81395
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,85,46131.51765,11300.31765
249,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,17,42623.82353,10080.76471
252,OTHER VASCULAR PROCEDURES W MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,15,63599.86667,18692.13333
253,OTHER VASCULAR PROCEDURES W CC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,23,41555.04348,14621.13043
254,OTHER VASCULAR PROCEDURES W/O CC/MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,11,25150.63636,9179.454545
280,ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,25,30130.16,10425.8
281,ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,25,18610.92,6531.32
282,ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,15,19308.4,4586
286,CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,26,40558.03846,11881.53846
287,CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,94,19357.8617,7119.159574
291,HEART FAILURE & SHOCK W MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,70,22632.65714,8366.471429
292,HEART FAILURE & SHOCK W CC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,77,15733.46753,5844.506494
293,HEART FAILURE & SHOCK W/O CC/MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,31,10894.25806,3901.322581
300,PERIPHERAL VASCULAR DISORDERS W CC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,14,15079.35714,5566.5
303,ATHEROSCLEROSIS W/O MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,30,10449.83333,3370.566667
305,HYPERTENSION W/O MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,16,8675.8125,3491.8125
308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,28,21340.67857,7018
309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,31,14293.12903,4773.129032
310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,39,8730.692308,3328.102564
312,SYNCOPE & COLLAPSE,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,49,12728.40816,4082.081633
313,CHEST PAIN,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,72,9444.361111,3126.5
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,30,29737.36667,11099.3
329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,21,107741.5238,32407.85714
330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,26,42848.80769,14363.03846
372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULVARD,LAWTON,OK,73505,OK - Lawton,11,13270,7181
