DRGCode,DRGDef,providertracking,providername,ProviderStreet,cityname,st_abrev,ProviderZip,HospitalReferralRegion,Discharges,AverageCoveredCharges,AverageTotalPayments
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,100070,VENICE REGIONAL MEDICAL CENTER,540 THE RIALTO,VENICE,FL,34285,FL - Sarasota,106,23319.4717,5107.95283
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,100070,VENICE REGIONAL MEDICAL CENTER,540 THE RIALTO,VENICE,FL,34285,FL - Sarasota,56,17658.66071,3838.946429
193,SIMPLE PNEUMONIA & PLEURISY W MCC,100070,VENICE REGIONAL MEDICAL CENTER,540 THE RIALTO,VENICE,FL,34285,FL - Sarasota,47,36097.78723,7625.744681
194,SIMPLE PNEUMONIA & PLEURISY W CC,100070,VENICE REGIONAL MEDICAL CENTER,540 THE RIALTO,VENICE,FL,34285,FL - Sarasota,88,22690.34091,5339.761364
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,100070,VENICE REGIONAL MEDICAL CENTER,540 THE RIALTO,VENICE,FL,34285,FL - Sarasota,34,14862.14706,3767.941176
202,BRONCHITIS & ASTHMA W CC/MCC,100070,VENICE REGIONAL MEDICAL CENTER,540 THE RIALTO,VENICE,FL,34285,FL - Sarasota,16,27683.6875,4482
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,100070,VENICE REGIONAL MEDICAL CENTER,540 THE RIALTO,VENICE,FL,34285,FL - Sarasota,14,95228.42857,26729.5
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,100070,VENICE REGIONAL MEDICAL CENTER,540 THE RIALTO,VENICE,FL,34285,FL - Sarasota,41,58868.85366,12666.97561
238,MAJOR CARDIOVASC PROCEDURES W/O MCC,100070,VENICE REGIONAL MEDICAL CENTER,540 THE RIALTO,VENICE,FL,34285,FL - Sarasota,53,167706.9811,21214.75472
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,100070,VENICE REGIONAL MEDICAL CENTER,540 THE RIALTO,VENICE,FL,34285,FL - Sarasota,26,101354.0769,14065.42308
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,100070,VENICE REGIONAL MEDICAL CENTER,540 THE RIALTO,VENICE,FL,34285,FL - Sarasota,32,89002.5,10822.15625
