DRGCode,DRGDef,providertracking,providername,ProviderStreet,cityname,st_abrev,ProviderZip,HospitalReferralRegion,Discharges,AverageCoveredCharges,AverageTotalPayments
177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,25,108446.08,14249.68
178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,19,81241.36842,9182.421053
189,PULMONARY EDEMA & RESPIRATORY FAILURE,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,49,83452.32653,9077.244898
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,111,65504.53153,8041.126126
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,107,54631.88785,6842.130841
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,81,37649.40741,4819.703704
193,SIMPLE PNEUMONIA & PLEURISY W MCC,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,72,84558.01389,10814.84722
194,SIMPLE PNEUMONIA & PLEURISY W CC,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,105,59185.59048,7319.857143
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,47,37785.31915,4579.382979
202,BRONCHITIS & ASTHMA W CC/MCC,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,25,45954.4,5604.92
203,BRONCHITIS & ASTHMA W/O CC/MCC,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,17,33875.58824,4006
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,46,231084,32230.65217
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,77,121303.1039,15731.55844
238,MAJOR CARDIOVASC PROCEDURES W/O MCC,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,21,131142.4762,22236.66667
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,25,108888.08,17310.92
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,25,93177.8,13455.6
246,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,20,185061.65,23365.3
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,95,118317.6842,15430.97895
249,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,35,103768.2571,12218.94286
251,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,20,81957.95,12117.7
252,OTHER VASCULAR PROCEDURES W MCC,290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,NV - Las Vegas,22,158657.6818,20465.54545
