DRGCode,DRGDef,providertracking,providername,ProviderStreet,cityname,st_abrev,ProviderZip,HospitalReferralRegion,Discharges,AverageCoveredCharges,AverageTotalPayments
251,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,CLINTON TOWNSHI,MI,48038,MI - Detroit,25,28502.4,11028.12
252,OTHER VASCULAR PROCEDURES W MCC,230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,CLINTON TOWNSHI,MI,48038,MI - Detroit,41,50192.97561,19026.36585
253,OTHER VASCULAR PROCEDURES W CC,230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,CLINTON TOWNSHI,MI,48038,MI - Detroit,31,46846.16129,15251.48387
254,OTHER VASCULAR PROCEDURES W/O CC/MCC,230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,CLINTON TOWNSHI,MI,48038,MI - Detroit,27,29382.44444,9900.296296
280,ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,CLINTON TOWNSHI,MI,48038,MI - Detroit,103,24461.63107,11335
281,ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,CLINTON TOWNSHI,MI,48038,MI - Detroit,59,15819.38983,7430
282,ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,CLINTON TOWNSHI,MI,48038,MI - Detroit,24,12523,4980.666667
286,CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,CLINTON TOWNSHI,MI,48038,MI - Detroit,38,30307.42105,12475.02632
287,CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,CLINTON TOWNSHI,MI,48038,MI - Detroit,116,18760.27586,7014.724138
291,HEART FAILURE & SHOCK W MCC,230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,CLINTON TOWNSHI,MI,48038,MI - Detroit,292,17887.38699,9026.441781
292,HEART FAILURE & SHOCK W CC,230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,CLINTON TOWNSHI,MI,48038,MI - Detroit,194,12520.54124,6375.57732
293,HEART FAILURE & SHOCK W/O CC/MCC,230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,CLINTON TOWNSHI,MI,48038,MI - Detroit,104,8299.365385,4274.480769
300,PERIPHERAL VASCULAR DISORDERS W CC,230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,CLINTON TOWNSHI,MI,48038,MI - Detroit,66,10491.36364,5971
